,delta_T,H,N,f,omega,g,T_0,theta_grad,Avg_T_PBL,u_s,u_sb,z_s,z_sb,Pi_1,Pi_2,Pi_4
2014-07-16 11:00:00+00:00,10.518341064453125,135.72278849283853,0.022287524879081907,0.00014349916643441557,7.27220521664304e-05,9.81,304.45145284549017,-0.015416036340817327,295.4565734863281,15.2067485427476,1.8838562965393066,177435.04417821107,9327795.804874472,1.1785033996883625,1.9732551840809707,306.4754667274113
2014-07-16 12:00:00+00:00,10.990325927734375,142.98143659319197,0.022355388884226987,0.00014349916643441557,7.27220521664304e-05,9.81,304.79702721967556,-0.015527665885938775,295.45654296875,15.82291967663951,2.262643337249756,178896.95907563157,9877547.549138425,1.21623511777549,1.9732551840809707,307.40866378557143
2014-07-16 13:00:00+00:00,11.11090087890625,145.34971618652344,0.022506051425602226,0.00014349916643441557,7.27220521664304e-05,9.81,305.13981337997785,-0.01575536550329364,296.1784973144531,15.871577623074362,2.4300198554992676,179886.5898996,10004663.825895824,1.2132636401955104,1.9732551840809707,309.48042244593535
2014-07-16 14:00:00+00:00,10.532379150390625,143.6148681640625,0.02298880588573022,0.00014349916643441557,7.27220521664304e-05,9.81,305.7360317365536,-0.01647063880452468,296.6844787597656,14.700511782015832,2.7637202739715576,187502.38373232124,10070181.841670908,1.0781012145351088,1.9732551840809707,316.1187727914835
2014-07-16 15:00:00+00:00,9.40045166015625,138.2365478515625,0.023149676828148967,0.00014349916643441557,7.27220521664304e-05,9.81,306.11547891643045,-0.016722690358768184,296.98974609375,13.01330188519281,2.719135284423828,202212.51623276487,10370193.994531775,0.8849390209174881,1.9732551840809707,318.3309070427362
2014-07-16 16:00:00+00:00,7.991729736328125,130.61121715198863,0.023363295610217452,0.00014349916643441557,7.27220521664304e-05,9.81,306.4335958695371,-0.017050439505016644,295.993408203125,10.950635273176612,3.1321306228637695,224736.47373307717,10826304.82097591,0.6700382972657776,1.9732551840809707,321.268376155676
2014-07-16 17:00:00+00:00,6.0753173828125,121.32253011067708,0.02368234227650097,0.00014349916643441557,7.27220521664304e-05,9.81,306.4999865933738,-0.017523092749573015,294.1279296875,8.210750679365523,3.2878520488739014,274603.68558941555,12199141.146840943,0.4111595454099331,1.9732551840809707,325.6555827426594
2014-07-16 18:00:00+00:00,3.8004150390625,111.48196176382211,0.02383297465252542,0.00014349916643441557,7.27220521664304e-05,9.81,306.52778331948286,-0.017748323637483302,293.1160888671875,5.103309875630398,2.9273762702941895,403373.57905929163,16418614.203469183,0.17397160306014514,1.9732551840809707,327.7269265996743
2014-07-16 19:00:00+00:00,1.04937744140625,102.55787876674107,0.024176895804819572,0.00014349916643441557,7.27220521664304e-05,9.81,306.59606587999195,-0.018268321586675667,291.5562438964844,1.3887805149714265,3.6149215698242188,1343913.0769819026,49872332.39049807,0.014210072994881223,1.9732551840809707,332.45618192248975
2014-07-16 20:00:00+00:00,-1.7552490234375,94.92210286458334,0.023972198033386672,0.00014349916643441557,7.27220521664304e-05,9.81,306.7305682698019,-0.017968166583661464,291.3183898925781,-2.3417624158723735,2.8430163860321045,-743639.5593823422,-25780802.58910712,0.043302624673691864,1.9732551840809707,329.64138551156844
